p e cs2 p_norm muB X n gamma
1.2700000e+02 6.4700000e+02 2.8600000e-01 4.1360000e-01 1.2590000e+03 2.9000000e+00 4.7184000e-03 1.7430236e+00
1.2890000e+02 6.5350000e+02 2.8620000e-01 4.1570000e-01 1.2620000e+03 2.9000000e+00 4.7584000e-03 1.7371829e+00
1.3070000e+02 6.6010000e+02 2.8630000e-01 4.1780000e-01 1.2650000e+03 2.9000000e+00 4.7968000e-03 1.7322574e+00
1.3260000e+02 6.6670000e+02 2.8640000e-01 4.1980000e-01 1.2680000e+03 2.9000000e+00 4.8384000e-03 1.7263916e+00
1.3460000e+02 6.7340000e+02 2.8650000e-01 4.2180000e-01 1.2710000e+03 2.9000000e+00 4.8784000e-03 1.7198514e+00
1.3650000e+02 6.8020000e+02 2.8660000e-01 4.2380000e-01 1.2740000e+03 2.9000000e+00 4.9184000e-03 1.7147708e+00
1.3850000e+02 6.8710000e+02 2.8670000e-01 4.2580000e-01 1.2770000e+03 2.9000000e+00 4.9600000e-03 1.7090218e+00
1.4050000e+02 6.9400000e+02 2.8680000e-01 4.2780000e-01 1.2800000e+03 2.9000000e+00 5.0016000e-03 1.7034491e+00
1.4250000e+02 7.0100000e+02 2.8700000e-01 4.2980000e-01 1.2830000e+03 2.9000000e+00 5.0432000e-03 1.6988386e+00
1.4450000e+02 7.0800000e+02 2.8710000e-01 4.3180000e-01 1.2860000e+03 2.9000000e+00 5.0864000e-03 1.6937907e+00
1.4650000e+02 7.1520000e+02 2.8720000e-01 4.3370000e-01 1.2890000e+03 2.9000000e+00 5.1280000e-03 1.6892849e+00
1.4860000e+02 7.2240000e+02 2.8730000e-01 4.3570000e-01 1.2920000e+03 2.9000000e+00 5.1712000e-03 1.6839724e+00
1.5070000e+02 7.2970000e+02 2.8740000e-01 4.3760000e-01 1.2950000e+03 2.9000000e+00 5.2144000e-03 1.6790110e+00
1.5280000e+02 7.3700000e+02 2.8750000e-01 4.3950000e-01 1.2990000e+03 2.9000000e+00 5.2576000e-03 1.6741983e+00
1.5500000e+02 7.4440000e+02 2.8770000e-01 4.4140000e-01 1.3020000e+03 2.9000000e+00 5.3024000e-03 1.6694025e+00
1.5710000e+02 7.5200000e+02 2.8780000e-01 4.4330000e-01 1.3050000e+03 2.9000000e+00 5.3456000e-03 1.6654295e+00
1.5930000e+02 7.5950000e+02 2.8790000e-01 4.4520000e-01 1.3080000e+03 2.9000000e+00 5.3904000e-03 1.6605306e+00
1.6150000e+02 7.6720000e+02 2.8800000e-01 4.4710000e-01 1.3110000e+03 2.9000000e+00 5.4352000e-03 1.6561337e+00
1.6370000e+02 7.7490000e+02 2.8820000e-01 4.4900000e-01 1.3140000e+03 2.9000000e+00 5.4800000e-03 1.6524406e+00
1.6600000e+02 7.8280000e+02 2.8830000e-01 4.5080000e-01 1.3170000e+03 2.9000000e+00 5.5264000e-03 1.6478255e+00
1.6830000e+02 7.9070000e+02 2.8840000e-01 4.5270000e-01 1.3200000e+03 2.9000000e+00 5.5728000e-03 1.6433488e+00
1.7060000e+02 7.9870000e+02 2.8850000e-01 4.5450000e-01 1.3240000e+03 2.9000000e+00 5.6192000e-03 1.6391738e+00
1.7290000e+02 8.0670000e+02 2.8860000e-01 4.5630000e-01 1.3270000e+03 2.9000000e+00 5.6656000e-03 1.6351218e+00
1.7530000e+02 8.1490000e+02 2.8880000e-01 4.5810000e-01 1.3300000e+03 2.9000000e+00 5.7120000e-03 1.6313164e+00
1.7760000e+02 8.2310000e+02 2.8890000e-01 4.5990000e-01 1.3330000e+03 2.9000000e+00 5.7600000e-03 1.6278279e+00
1.8000000e+02 8.3140000e+02 2.8900000e-01 4.6170000e-01 1.3360000e+03 2.9000000e+00 5.8080000e-03 1.6238589e+00
1.8250000e+02 8.3980000e+02 2.8910000e-01 4.6350000e-01 1.3400000e+03 2.9000000e+00 5.8560000e-03 1.6194352e+00
1.8490000e+02 8.4830000e+02 2.8930000e-01 4.6530000e-01 1.3430000e+03 2.9000000e+00 5.9040000e-03 1.6165752e+00
1.8740000e+02 8.5690000e+02 2.8940000e-01 4.6700000e-01 1.3460000e+03 2.9000000e+00 5.9536000e-03 1.6127023e+00
1.8990000e+02 8.6560000e+02 2.8950000e-01 4.6880000e-01 1.3490000e+03 2.9000000e+00 6.0032000e-03 1.6090956e+00
